id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
LSM11	4	2.5447e-07	2.3139e-07	0.000236	1	4	-1.3043	0.99977	0.99998	1.0	20549	0	-1.3043
LOC100132247	5	8.6465e-07	2.3139e-07	0.000236	2	4	-0.78237	0.54507	0.74186	1.0	11531	1	-0.78237
TP53TG3	5	1.2183e-06	2.3139e-07	0.000236	3	4	-0.64813	0.90005	0.94763	1.0	18283	0	-0.64813
PSMG4	4	1.2567e-06	2.3139e-07	0.000236	4	2	-1.1302	0.66815	0.76163	1.0	13615	1	-1.1302
SPDYE2	4	2.2685e-06	2.3139e-07	0.000236	5	3	-0.76842	0.34903	0.59513	1.0	8628	1	-0.76842
UBE2I	5	3.2048e-06	2.3139e-07	0.000236	6	5	-0.62431	0.99044	0.99567	1.0	20294	0	-0.62431
ARFRP1	4	6.0033e-06	2.3139e-07	0.000236	7	3	-1.2343	0.20184	0.39859	1.0	6080	1	-1.2343
PDCD2	4	8.2237e-06	2.3139e-07	0.000236	8	4	-0.74525	0.98534	0.99281	1.0	20168	0	-0.74525
BRAT1	4	8.2985e-06	2.3139e-07	0.000236	9	3	-0.78152	0.8865	0.9384	1.0	18013	0	-0.78152
HSPE1	5	9.8556e-06	1.1569e-06	0.001125	10	5	-1.4529	0.99889	0.99974	1.0	20512	0	-1.4529
SPDYE5	4	1.0677e-05	2.3139e-07	0.000236	11	4	-1.8835	0.99999	1.0	1.0	20560	0	-1.8835
MYC	5	1.1439e-05	1.6197e-06	0.001444	12	5	-1.371	0.99999	1.0	1.0	20559	0	-1.371
CSNK1A1	5	1.263e-05	1.6197e-06	0.001444	13	3	-1.0644	0.80558	0.87294	1.0	16359	1	-1.0644
RBM14	2	1.5112e-05	2.3139e-07	0.000236	14	2	-4.3726	0.99998	1.0	1.0	20558	0	-4.3726
PPP4C	5	1.7701e-05	2.0825e-06	0.001782	15	5	-0.82872	0.99998	1.0	1.0	20557	0	-0.82872
FGFR1	5	2.0547e-05	3.4708e-06	0.00275	16	3	-0.48731	0.865	0.92154	1.0	17591	0	-0.48731
MLST8	3	3.5283e-05	3.4708e-06	0.00275	17	3	-1.0631	0.99996	1.0	1.0	20556	0	-1.0631
COASY	5	4.7188e-05	7.173e-06	0.005116	18	5	-0.88883	0.99995	1.0	1.0	20555	0	-0.88883
TINF2	4	5.9923e-05	4.8591e-06	0.003585	19	4	-1.0421	0.99563	0.99868	1.0	20412	0	-1.0421
FAM96B	5	6.4052e-05	1.2726e-05	0.008783	20	5	-1.1882	0.98875	0.99527	1.0	20252	0	-1.1882
POP5	6	7.0154e-05	1.6428e-05	0.010042	21	5	-1.3349	0.90356	0.94867	1.0	18363	0	-1.3349
ARHGAP9	3	7.2135e-05	4.3963e-06	0.003359	22	3	-0.69143	0.94128	0.96408	1.0	19161	0	-0.69143
RANGAP1	5	8.6881e-05	1.8279e-05	0.010864	23	3	-0.24356	0.095343	0.2676	1.0	3561	2	-0.24356
PKD1	4	8.9492e-05	1.4577e-05	0.009464	24	4	-1.2972	0.99991	0.99999	1.0	20554	0	-1.2972
NDOR1	4	9.3108e-05	1.504e-05	0.009464	25	2	0.0093813	0.51247	0.66734	1.0	11007	1	0.0093813
UBE2M	4	9.3829e-05	1.504e-05	0.009464	26	4	-1.4781	0.99656	0.99901	1.0	20431	0	-1.4781
NEDD8	4	0.00011708	2.0131e-05	0.011595	27	2	-0.34394	0.25915	0.46452	1.0	7088	2	-0.34394
POLR2F	4	0.00013029	2.0593e-05	0.011595	28	4	-0.76912	0.99987	0.99999	1.0	20553	0	-0.76912
SMG6	5	0.00015782	3.1237e-05	0.0163	29	4	-0.63447	0.24763	0.48972	1.0	6894	1	-0.63447
DUT	2	0.00018249	2.1982e-05	0.012059	30	2	-2.1315	0.99982	0.99998	1.0	20552	0	-2.1315
LTC4S	5	0.00018386	4.7897e-05	0.02087	31	4	-0.40145	0.96558	0.98489	1.0	19710	0	-0.40145
hsa-mir-1233-1	4	0.0001893	3.3088e-05	0.016463	32	3	-0.79637	0.95323	0.97868	1.0	19431	0	-0.79637
IPO13	4	0.00019817	3.5402e-05	0.016681	33	4	-0.7737	0.9998	0.99998	1.0	20551	0	-0.7737
VPS11	3	0.00020988	2.846e-05	0.015223	34	2	-0.53038	0.79469	0.87107	1.0	16118	0	-0.53038
FEN1	3	0.00022178	3.3088e-05	0.016463	35	3	-0.69345	0.99978	0.99998	1.0	20550	0	-0.69345
GPN2	4	0.00022584	4.003e-05	0.018222	36	3	-0.90392	0.0096793	0.043162	1.0	562	1	-0.90392
YBX1	5	0.00022701	6.9647e-05	0.026609	37	4	-0.41724	0.74895	0.83678	1.0	15212	1	-0.41724
GAGE1	6	0.00023276	5.9466e-05	0.023561	38	4	-0.23399	0.22471	0.49218	1.0	6524	2	-0.23399
CLDN19	3	0.00023535	3.5865e-05	0.016681	39	3	-1.1444	0.99976	0.99998	1.0	20548	0	-1.1444
LONP1	3	0.00024506	3.5865e-05	0.016681	40	3	-2.1342	0.99975	0.99998	1.0	20547	0	-2.1342
PSMA7	4	0.00025328	7.4275e-05	0.027145	41	3	-0.60155	0.2262	0.42663	1.0	6543	1	-0.60155
AARS	4	0.00025846	7.5663e-05	0.027145	42	4	-1.0252	0.99974	0.99997	1.0	20546	0	-1.0252
SEC61A1	4	0.00025884	7.5663e-05	0.027145	43	4	-1.0692	0.99974	0.99997	1.0	20545	0	-1.0692
COPE	4	0.0002793	7.6126e-05	0.027145	44	2	-0.54495	0.1288	0.29583	1.0	4364	1	-0.54495
TSEN34	4	0.00030351	8.3993e-05	0.028681	45	2	-0.3374	0.84865	0.91026	1.0	17216	0	-0.3374
TTYH2	4	0.00030482	8.4456e-05	0.028681	46	2	-0.15985	0.80457	0.88149	1.0	16336	0	-0.15985
U2AF2	4	0.00030633	8.4456e-05	0.028681	47	4	-0.54548	0.99446	0.99791	1.0	20379	0	-0.54548
