id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
VN1R2	6	1.3894e-05	2.2974e-07	0.00495	1	3	-5.6634	0.9607	0.9379	1.0	20016	0	-5.6634
BNC1	5	3.0021e-05	6.8923e-07	0.007426	2	2	-0.10859	0.35048	0.50424	0.963749	9539	1	-0.10859
ISY1	5	5.3465e-05	1.6082e-06	0.011551	3	3	-1.3326	0.77571	0.74431	0.96572	16276	1	-1.3326
FAM107A	2	6.0041e-05	2.5272e-06	0.013614	4	1	-6.2824	0.84807	0.79788	0.972664	17715	0	-6.2824
USP11	4	7.2048e-05	1.1257e-05	0.039295	5	1	0.39161	0.76992	0.71185	0.963749	16152	0	0.39161
NINJ2	5	0.00013888	2.0447e-05	0.039295	6	2	-0.33626	0.89465	0.85573	0.982643	18702	0	-0.33626
MAGED1	2	0.0001561	9.4194e-06	0.039295	7	1	-6.1921	0.62336	0.56405	0.963749	13530	0	-6.1921
PRSS8	6	0.00018409	2.7339e-05	0.039295	8	3	-4.8471	0.18999	0.3646	0.963749	6307	3	-4.8471
TSPYL5	5	0.00020995	2.9177e-05	0.039295	9	3	-10.103	0.90443	0.86253	0.984675	18905	0	-10.103
SCNN1B	5	0.00021013	2.9177e-05	0.039295	10	2	0.64253	0.093557	0.20619	0.963749	3849	3	0.64253
GDF6	4	0.00021613	2.688e-05	0.039295	11	1	0.24551	0.82786	0.7792	0.970158	17330	0	0.24551
HLA-DQA2	4	0.00021758	2.688e-05	0.039295	12	3	-10.14	0.82406	0.77053	0.968649	17268	0	-10.14
CYP26B1	4	0.00026416	2.8258e-05	0.039295	13	2	-4.383	0.98393	0.97433	1.0	20440	0	-4.383
DLG5	4	0.00026986	2.8258e-05	0.039295	14	3	-7.9164	0.98924	0.98521	1.0	20534	0	-7.9164
PRR7	4	0.00028491	2.8258e-05	0.039295	15	3	-6.0705	0.62772	0.61812	0.963749	13623	1	-6.0705
THEM6	4	0.00029462	2.8718e-05	0.039295	16	3	-10.731	0.34882	0.47484	0.963749	9514	1	-10.731
ARL16	6	0.00031505	7.1909e-05	0.05165	17	3	-0.93969	0.52624	0.6632	0.963749	12092	2	-0.93969
SLC27A1	4	0.00040915	3.607e-05	0.045719	18	3	-6.1462	0.45692	0.53329	0.963749	11127	1	-6.1462
ARMCX2	4	0.00041803	5.7206e-05	0.05165	19	2	-5.317	0.75507	0.70119	0.963749	15848	1	-5.317
POLR3H	5	0.00045023	4.8016e-05	0.05165	20	3	-1.3044	0.32873	0.47488	0.963749	9142	2	-1.3044
SLC39A7	3	0.00048626	5.8584e-05	0.05165	21	1	0.078788	0.7348	0.67913	0.963749	15434	0	0.078788
GPR83	4	0.00050734	5.9963e-05	0.05165	22	2	-5.3901	0.31453	0.45597	0.963749	8883	2	-5.3901
ADAM30	5	0.00051025	5.9503e-05	0.05165	23	2	0.013333	0.95955	0.93252	1.0	19996	0	0.013333
ZNF317	4	0.00053049	6.0422e-05	0.05165	24	3	-8.7675	0.93988	0.90424	0.997927	19628	0	-8.7675
ZNF174	5	0.0005461	6.5477e-05	0.05165	25	3	-9.9894	0.97739	0.9568	1.0	20346	0	-9.9894
CSMD2	5	0.00057027	6.7774e-05	0.05165	26	5	-2.8823	0.99737	0.99727	1.0	20631	0	-2.8823
ERAP1	6	0.00058292	0.00045558	0.115492	27	3	-3.3961	0.5247	0.6632	0.963749	12070	2	-3.3961
PHB2	5	0.00059341	7.099e-05	0.05165	28	4	-1.4052	0.87436	0.8197	0.975842	18250	0	-1.4052
GPRC5B	2	0.00066035	5.8125e-05	0.05165	29	1	-6.1911	0.79414	0.72631	0.96572	16658	0	-6.1911
ANKRD33B	5	0.00066563	7.9261e-05	0.05461	30	3	-9.8206	0.73147	0.71483	0.963749	15377	1	-9.8206
SPC24	6	0.00068382	0.00070692	0.145073	31	6	-2.3954	0.99932	0.99936	1.0	20638	0	-2.3954
RABL5	5	0.00069029	0.00012521	0.056616	32	2	-0.27532	0.31084	0.45799	0.963749	8810	2	-0.27532
TSHZ1	4	0.00069631	6.5017e-05	0.05165	33	2	-0.99289	0.84599	0.79424	0.970662	17673	0	-0.99289
USP14	5	0.00070433	0.00012521	0.056616	34	3	-9.9142	0.34647	0.4991	0.963749	9469	2	-9.9142
KRTAP13-3	6	0.00072318	0.00071795	0.145946	35	4	-6.5417	0.9509	0.92129	1.0	19831	0	-6.5417
EN1	4	0.00074431	6.7774e-05	0.05165	36	1	0.50828	0.37096	0.49077	0.963749	9809	1	0.50828
KRT2	5	0.0007503	0.00013164	0.056616	37	3	-8.683	0.34826	0.50014	0.963749	9504	1	-8.683
RIMBP3	6	0.00075629	0.00080065	0.155428	38	3	-3.8472	0.78528	0.77611	0.970158	16479	1	-3.8472
NKX6-3	3	0.00076162	8.1099e-05	0.05461	39	2	-11.072	0.31566	0.39625	0.963749	8904	1	-11.072
VAMP3	5	0.00076226	0.00013394	0.056616	40	3	-1.0066	0.30434	0.45578	0.963749	8678	2	-1.0066
CACFD1	5	0.00081323	0.00014175	0.056616	41	4	-9.7674	0.99302	0.98631	1.0	20585	0	-9.7674
TLR2	5	0.00082208	0.00014221	0.056616	42	3	-0.75977	0.62503	0.6562	0.963749	13566	1	-0.75977
SDHD	4	0.00085819	0.00010178	0.056616	43	2	-5.5237	0.88224	0.83939	0.981389	18428	0	-5.5237
WASH1	6	0.00087403	0.0010341	0.179695	44	6	-2.6175	0.99913	0.99905	1.0	20637	0	-2.6175
PSCA	5	0.00088412	0.00016151	0.061056	45	3	-6.6628	0.8284	0.77856	0.970158	17344	1	-6.6628
MYL4	5	0.00092331	0.00017575	0.065295	46	2	-0.070472	0.44499	0.57931	0.963749	10938	2	-0.070472
PLK1	6	0.00092983	0.0011531	0.180122	47	6	-3.6371	0.99907	0.99894	1.0	20636	0	-3.6371
FAM149B1	4	0.00093633	0.00010913	0.056616	48	3	-10.191	0.66034	0.63413	0.963749	14146	1	-10.191
RPLP2	6	0.00096755	0.0012794	0.188831	49	6	-1.1584	0.99903	0.99882	1.0	20635	0	-1.1584
SDR9C7	5	0.00097491	0.00019689	0.067555	50	2	0.035555	0.78102	0.74919	0.965722	16386	1	0.035555
TMEM165	4	0.00097898	0.00010959	0.056616	51	3	-9.7639	0.89772	0.8554	0.982643	18765	0	-9.7639
PF4V1	4	0.00098818	0.00011097	0.056616	52	2	-5.3924	0.54682	0.56861	0.963749	12400	1	-5.3924
CIDEA	3	0.0010094	0.00011051	0.056616	53	2	-10.991	0.71943	0.65207	0.963749	15131	0	-10.991
MEF2BNB	3	0.0010289	0.0001128	0.056616	54	3	-10.077	0.99897	0.99992	1.0	20634	0	-10.077
ZNF19	6	0.0010911	0.0015937	0.209263	55	3	-4.7365	0.93506	0.90411	0.997927	19533	0	-4.7365
SLC26A11	5	0.0010945	0.00028465	0.085108	56	3	-9.6783	0.45289	0.58595	0.963749	11065	1	-9.6783
NDP	3	0.0010984	0.00011326	0.056616	57	2	-9.5748	0.88944	0.84186	0.981389	18595	0	-9.5748
CAMK1G	5	0.0011103	0.00028833	0.085108	58	2	-0.49662	0.98038	0.95981	1.0	20381	0	-0.49662
VN1R5	4	0.0011301	0.00011418	0.056616	59	2	-5.0986	0.80512	0.74315	0.96572	16891	0	-5.0986
AIFM3	5	0.0011708	0.00032095	0.093082	60	2	-0.47134	0.8672	0.8141	0.974109	18109	0	-0.47134
REG3A	6	0.0011761	0.0015942	0.209263	61	3	-5.1361	0.49222	0.63893	0.963749	11608	2	-5.1361
LAMTOR2	4	0.0011763	0.00011464	0.056616	62	2	-5.2217	0.76328	0.71009	0.963749	16020	0	-5.2217
ZNF606	6	0.0011882	0.0015942	0.209263	63	3	-0.72361	0.32425	0.49918	0.963749	9046	2	-0.72361
CARD11	4	0.0012243	0.0001151	0.056616	64	1	0.26522	0.29833	0.4401	0.963749	8557	2	0.26522
FBXO31	5	0.0012352	0.00034852	0.096281	65	3	-0.77211	0.31205	0.46118	0.963749	8842	2	-0.77211
GABRB3	6	0.0012602	0.0015979	0.209263	66	2	0.058379	0.9639	0.94233	1.0	20085	0	0.058379
TMEM54	4	0.0012723	0.00012337	0.056616	67	3	-9.3727	0.96929	0.94812	1.0	20201	0	-9.3727
